City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
172,Zhangjiakou,CN,2020-03-01 16:41:20,40.81,114.88,19.38,43,0,1.99,clear sky,0.0,0.0
173,Phonhong,LA,2020-03-01 16:41:20,18.5,102.42,78.8,65,20,2.24,mist,0.0,0.0
174,Ritchie,ZA,2020-03-01 16:41:20,-29.04,24.6,69.8,73,100,8.05,light rain,1.0,0.0
175,Ayorou,NE,2020-03-01 16:41:20,14.73,0.92,82.18,9,94,3.18,overcast clouds,0.0,0.0
176,Nerchinskiy Zavod,RU,2020-03-01 16:41:20,51.31,119.61,0.52,97,100,2.42,light snow,0.0,0.19
177,Tacoronte,ES,2020-03-01 16:41:21,28.48,-16.41,70.0,72,20,14.99,few clouds,0.0,0.0
178,Deputatskiy,RU,2020-03-01 16:41:21,69.3,139.9,-7.19,71,58,5.84,broken clouds,0.0,0.0
179,Half Moon Bay,US,2020-03-01 16:41:21,37.46,-122.43,50.0,70,75,5.82,broken clouds,0.0,0.0
180,Diffa,NE,2020-03-01 16:41:21,13.32,12.61,83.98,14,40,6.13,scattered clouds,0.0,0.0
181,Acarau,BR,2020-03-01 16:41:22,-2.89,-40.12,83.62,75,100,7.61,light rain,2.56,0.0
182,Tomatlan,MX,2020-03-01 16:41:22,19.93,-105.25,93.76,26,9,3.87,clear sky,0.0,0.0
183,Krasnoselkup,RU,2020-03-01 16:41:22,65.7,82.47,29.3,96,100,19.13,light snow,0.0,0.75
184,Hithadhoo,MV,2020-03-01 16:41:22,-0.6,73.08,83.07,76,27,9.62,scattered clouds,0.0,0.0
185,Nikki,BJ,2020-03-01 16:41:22,9.94,3.21,94.75,14,23,5.44,few clouds,0.0,0.0
186,Klaksvik,FO,2020-03-01 16:41:23,62.23,-6.59,35.6,80,100,27.51,light snow,0.0,0.13
187,East London,ZA,2020-03-01 16:41:23,-33.02,27.91,73.4,78,0,16.11,clear sky,0.0,0.0
188,Talnakh,RU,2020-03-01 16:41:23,69.49,88.4,17.6,85,90,49.21,overcast clouds,0.0,0.0
189,Belaya Gora,RU,2020-03-01 16:41:23,68.53,146.42,-9.2,81,32,0.74,scattered clouds,0.0,0.0
190,Bathsheba,BB,2020-03-01 16:41:23,13.22,-59.52,84.2,58,20,17.22,few clouds,0.0,0.0
191,Auray,FR,2020-03-01 16:41:24,47.67,-2.99,51.01,75,27,12.75,light rain,0.31,0.0
192,Najran,SA,2020-03-01 16:41:24,17.49,44.13,84.2,21,0,5.82,clear sky,0.0,0.0
193,Buala,SB,2020-03-01 16:41:24,-8.14,159.59,81.91,77,35,5.19,light rain,0.56,0.0
194,Hofn,IS,2020-03-01 16:41:24,64.25,-15.21,37.4,64,90,26.4,light intensity shower rain,0.0,0.0
195,Ternate,ID,2020-03-01 16:41:24,0.8,127.4,75.45,93,98,3.33,overcast clouds,0.0,0.0
196,Rawson,AR,2020-03-01 16:39:34,-43.3,-65.1,70.36,57,18,16.31,few clouds,0.0,0.0
197,Souillac,MU,2020-03-01 16:41:25,-20.52,57.52,80.6,88,40,2.24,scattered clouds,0.0,0.0
198,Qaqortoq,GL,2020-03-01 16:41:25,60.72,-46.03,8.6,32,0,38.7,clear sky,0.0,0.0
199,Lebedinyy,RU,2020-03-01 16:41:25,58.52,125.52,-3.71,99,100,3.69,light snow,0.0,0.13
200,Pochutla,MX,2020-03-01 16:41:25,15.74,-96.47,84.2,54,5,8.05,clear sky,0.0,0.0
201,Hamilton,US,2020-03-01 16:40:30,39.18,-84.53,50.0,41,1,5.82,clear sky,0.0,0.0
202,Vardo,NO,2020-03-01 16:41:26,70.37,31.11,24.8,85,75,9.17,light snow,0.0,0.0
203,Richards Bay,ZA,2020-03-01 16:41:26,-28.78,32.04,74.23,68,33,18.59,scattered clouds,0.0,0.0
204,Teavaro,PF,2020-03-01 16:41:26,-17.5,-149.77,78.8,88,75,16.11,shower rain,0.0,0.0
205,Ponta Do Sol,PT,2020-03-01 16:41:27,32.67,-17.1,69.01,77,40,3.36,scattered clouds,0.0,0.0
206,Ankang,CN,2020-03-01 16:41:27,32.68,109.02,46.99,51,99,7.0,overcast clouds,0.0,0.0
207,Astaneh-Ye Ashrafiyeh,IR,2020-03-01 16:41:27,37.26,49.94,48.2,100,90,9.17,moderate rain,0.0,0.0
208,Luderitz,NA,2020-03-01 16:41:27,-26.65,15.16,73.4,73,6,10.29,clear sky,0.0,0.0
209,Alice Springs,AU,2020-03-01 16:38:38,-23.7,133.88,77.0,53,75,16.11,broken clouds,0.0,0.0
210,Cabra,ES,2020-03-01 16:41:28,37.47,-4.44,62.6,63,90,10.29,overcast clouds,0.0,0.0
211,College,US,2020-03-01 16:41:28,64.86,-147.8,10.4,84,90,5.03,overcast clouds,0.0,0.0
212,La Rioja,ES,2020-03-01 16:41:28,42.25,-2.5,64.4,34,51,13.87,light rain,0.19,0.0
213,Saint-Leu,RE,2020-03-01 16:41:28,-21.15,55.28,80.6,83,75,3.36,broken clouds,0.0,0.0
214,Santa Cruz,BO,2020-03-01 16:41:28,-17.8,-63.17,91.4,36,14,13.87,few clouds,0.0,0.0
